Mean_time	Mean_qlow	Mean_qup	Priors
t_n1188_Lardizabalaceae	120.202	119.03	123.34	B(1.19,2.53,1e-300,1e-300)
t_n1189	62.568	32.81	98.92	0
t_n1190	52.295	23.41	88.84	0
t_n1191	86.167	51.48	114.23	0
t_n1192	75.508	43.52	105.23	0
t_n1193	132.334	126.55	137.56	0
t_n1194	125.951	120.44	131.41	0
t_n1195	117.605	112.44	123.09	0
t_n1196	112.49	107.05	118.33	0
t_n1197	109.59	104.44	115.45	0
t_n1198_Arecaceae	100.335	98.7	100.98	B(0.88,1.01,1e-300,1e-300)
t_n1199	98.801	96.66	100.29	0
t_n1200_Poales	84.642	76.45	92.05	B(0.73,0.93,1e-300,1e-300)
t_n1201_Poaceae	75.136	70.21	83.98	B(0.7,1.14,1e-300,1e-300)
t_n1202	45.527	28.98	59.93	0
t_n1203	37.063	22.81	51.33	0
t_n1204	21.423	12.88	33.21	0
t_n1205_Typhaceae	76.702	65.64	87.99	B(0.65,1,1e-300,1e-300)
t_n1206	53.997	28.33	74.02	0
t_n1207	95.327	92.86	97.55	0
t_n1208_Zingiberales	89.762	89.02	91.6	B(0.89,1.23,1e-300,1e-300)
t_n1209	59.286	22.67	88.14	0
t_n1210	77.567	53.37	91.32	0
t_n1211	33.79	16.34	64.6	0
t_n1212_Asparagales	104.383	98.05	111.05	B(0.7,1.2,1e-300,1e-300)
t_n1213	98.058	85.82	106.64	0
t_n1214	83.978	66.8	98.16	0
t_n1215	61.943	48.25	77.31	0
t_n1216	55.479	42.34	69.3	0
t_n1217	51.623	37.4	65.71	0
t_n1218	46.669	30.4	61.35	0
t_n1219	49.284	34.48	64.13	0
t_n1220	20.37	9.13	33.1	0
t_n1221_Orchidaceae	89.426	86.1	96.76	B(0.86,2.61,1e-300,1e-300)
t_n1222	89.185	66.45	104.09	0
t_n1223	66.424	44.09	88.91	0
t_n1224	112.239	106.78	118.33	0
t_n1225_Pandanales	101.881	100.05	106.32	B(1,1.69,1e-300,1e-300)
t_n1226_Alismatales	106.103	98.28	109.87	B(0.83,1.1,1e-300,1e-300)
t_n1227	100.517	91.24	107.11	0
t_n1228	75.049	60.76	88.16	0
t_n1229	56.18	38.06	74.21	0
t_n1230	52.151	36.48	67.46	0
t_n1231	61.612	37.49	85.59	0
t_n1232_Araceae	83.104	73.91	89.73	B(0.73,0.9,1e-300,1e-300)
t_n1233	56.434	33.96	75.28	0
